Date, Cplus, CMinus, Cavg
2020-04-14,4.47531195242335,4.61298826832721,4.54415011037528,906
2020-04-21,4.4470799491387,4.59142646859759,4.51925320886814,857
2020-04-28,4.53955209134473,4.66757485743032,4.60356347438753,898
2020-05-05,4.47015353597944,4.60588333038,4.53801843317972,868
2020-05-12,4.3846610478627,4.53582087984814,4.46024096385542,830
2020-05-19,4.26062131603928,4.41567230610272,4.338146811071,831
2020-05-26,4.25215353446999,4.4127679314986,4.33246073298429,764
2020-06-09,4.16183095670291,4.31210269258619,4.23696682464455,844
2020-06-23,3.92025354791154,4.08913612344996,4.00469483568075,852
2020-07-07,3.89119648625078,4.05659011987862,3.9738933030647,881
2020-07-21,3.6574433069641,3.83739021772017,3.74741676234214,871
2020-08-04,3.62557891089102,3.80430614658025,3.71494252873563,870
2020-08-18,3.66321934809476,3.84237071401704,3.7527950310559,805
2020-09-01,3.59211523922372,3.77554943143496,3.68383233532934,835
2020-09-15,3.56147519364458,3.74693602130869,3.65420560747664,856
2020-09-30,3.63022109203081,3.81098961809724,3.72060535506403,859
2020-10-13,3.58943032474912,3.77139441751892,3.68041237113402,873
2020-10-27,4.04424932829377,4.19777487412647,4.12101210121012,909
2020-11-03,4.23029387415527,4.38204092760685,4.30616740088106,908
2020-11-10,4.33500757764769,4.4738813112412,4.40444444444444,900
2020-11-17,4.3499738355493,4.48873584187006,4.41935483870968,899
2020-12-01,4.33833954124864,4.47217524516976,4.4052573932092,913
2020-12-15,4.27823462571442,4.42000325974814,4.34911894273128,908
2020-12-22,4.25966790633777,4.40852956782985,4.33409873708381,871
2020-12-29,4.18890050987939,4.3336801352819,4.26129032258065,930
2021-01-12,4.33126236548301,4.47134067139334,4.40130151843818,922
2021-01-26,4.46728149006627,4.59754316455647,4.53241232731137,941
2021-02-09,4.45215864673742,4.57989926432773,4.51602895553258,967
2021-02-23,4.37177558295471,4.50467637058278,4.43822597676874,947
2021-03-09,4.33773450291017,4.47564198036922,4.4066882416397,927
2021-03-23,4.33262365971353,4.47322185176872,4.40292275574113,958
2021-04-06,4.15646565895831,4.3062707147903,4.23136818687431,899
2021-04-20,4.27789445234036,4.42210554765964,4.35,920
2021-05-04,4.26907803047954,4.40867664727514,4.33887733887734,962
2021-05-18,4.06718679951376,4.22599501866805,4.14659090909091,880
2021-06-01,4.04971939328676,4.20674854822056,4.12823397075366,889
2021-06-15,3.78453154534523,3.9541293617822,3.86933045356371,926
2021-06-29,3.72473989082718,3.89462204536644,3.80968096809681,909
2021-07-14,3.55255021566566,3.73508748323275,3.6438188494492,817
2021-07-27,3.50205616707432,3.68478284585164,3.59341950646298,851
2021-08-10,3.34263974310437,3.52952274196134,3.43608124253286,837
2021-08-24,3.42812665080684,3.6130014337995,3.52056404230317,851
2021-09-07,3.20288721341373,3.39985251261367,3.3013698630137,803
2021-09-21,3.20886352712398,3.39697588893441,3.3029197080292,822
2021-10-05,2.95625560394758,3.16463795715623,3.06044678055191,761
2021-10-19,3.15373977725904,3.34626022274096,3.25,792
2021-11-02,3.10926330678614,3.29889995851998,3.20408163265306,833
2021-11-16,3.46376179892724,3.64054659109544,3.55215419501134,882
2021-11-30,3.64627726119966,3.82546437663194,3.7358708189158,867
